X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
20150324224622,-93.60392,39.11058,KTWX,U0,123,86,100,100,1.75
20150324224922,-93.52873,37.56999,KSGF,J5,21,343,100,100,2.25
20150324224925,-93.56497,37.5581,KEAX,D2,82,156,90,100,2
20150324224934,-93.65564,38.61214,KTWX,U2,123,100,90,100,1.5
20150324225406,-93.48343,37.58842,KEAX,D2,82,153,90,100,2.25
20150324225443,-93.54946,36.97783,KSGF,E6,17,205,90,100,1.75
20150324225900,-93.53248,38.69631,KEAX,H3,35,101,90,100,2
20150324230011,-93.36928,37.58452,KSGF,J5,21,4,90,100,1.5
20150324230011,-93.47487,36.97485,KSGF,E6,16,193,90,90,1.75
20150324230539,-93.41525,37.00173,KSGF,E6,14,183,90,100,1.75
20150324230539,-93.28058,37.58949,KSGF,J5,22,15,100,100,2.5
20150324230915,-93.27047,37.58841,KEAX,D2,87,147,100,100,2.5
20150324231106,-93.24734,37.28919,KSGF,Q4,8,66,90,90,1.5
20150324231106,-93.33942,37.0065,KSGF,E6,14,168,90,100,1.5
20150324231106,-93.47582,36.73813,KSGF,G6,30,187,90,100,1.5
20150324231106,-93.19525,37.60063,KSGF,J5,24,24,100,100,2
20150324231428,-93.25425,37.2882,KEAX,S1,103,152,90,100,2.25
20150324231634,-93.24389,37.01815,KSGF,E6,15,150,90,100,1.5
20150324231634,-93.6102,36.55481,KSGF,T8,42,194,90,100,1.75
20150324231634,-93.38878,36.71782,KSGF,G6,31,179,100,100,2
20150324231634,-93.16593,37.30652,KSGF,Q4,12,69,100,100,2.25
20150324231851,-93.39477,36.72273,KINX,B1,110,72,90,100,1.75
20150324231851,-93.59658,36.55455,KINX,D3,98,76,90,100,2
